id,policy_title,description_short,agency,policy_area,status,status_detail,status_source,p2025_page,last_updated,status_bucket
1,Budget Organizational Agenda,Ensure that policy officials (PADs) personally sign apportionments -- not career officials. Agencies should come to OMB for their funding allottment.,U.S. Office of Management and Budget,Budget Organizational Agenda,Completed,"Notice; Delegation of Apportionment Authority (February 18, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,45,2026-02-11,Completed
2,Budget Organizational Agenda,The president should reintroduce the concept of administrative PAYGO to impose budget neutrality on the discretionalry choices of federal agencies,U.S. Office of Management and Budget,Budget Organizational Agenda,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,47,2026-02-11,Not initiated
3,Personnel Organizational Agenda,"The Office of Performance and Personnel Management should obtain transparency about entities that are awarded federal contracts and grants and use government contracts to push back against ""woke policies"" in corporate America.",U.S. Office of Management and Budget,Personnel Organizational Agenda,Initiated/Attempted,"Executive Order 14151 (January 20, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,48,2026-02-11,In progress
4,Regulatory Policy and Oversight,"Maintain Executive Order 12866, then foundation of OIRA's review of regulatory actions. Require the historically ""indepdendent"" agencies to also be subject to regulatory analysis and OIRA review.",U.S. Office of Management and Budget,Regulatory Policy and Oversight,Completed,"Execuitve Order 14192 (January 31, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,49,2026-02-11,Completed
5,Regulatory Policy and Oversight,Revive the directive in Executive Order 13891 that significant guidance documents also must pass through OIRA review.,U.S. Office of Management and Budget,Regulatory Policy and Oversight,Completed,"Execuitve Order 14148 (January 20, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,49,2026-02-11,Completed
6,Regulatory Policy and Oversight,"Reinstate previous executive orders that were designed to make the regulatory process more just, efficient, and transparent: EOs 13771, 13777, 13891, 13892,13893, 13294 Section 6, 13980",U.S. Office of Management and Budget,Regulatory Policy and Oversight,Completed,"Execuitve Order 14148 (January 20, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,49,2026-02-11,Completed
7,Regulatory Policy and Oversight,Strengthen Executive order 13132 so that state regulatory and fiscal operations are not commaneered by the federal government through cooperative federalism programs,U.S. Office of Management and Budget,Regulatory Policy and Oversight,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,49,2026-02-11,Not initiated
8,Regulatory Policy and Oversight,"Strengthen implementation of the Information Quality Act, robustly use the authority of the Paperwork Reduction Act, carefully enforce the Privacy Act, and ensure the sound execution of OIRA’s statistical and other information policy functions",U.S. Office of Management and Budget,Regulatory Policy and Oversight,Completed,"Executive Order 14303 (May 23, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,50,2026-02-11,Completed
9,National Security,The NSA should immediately evaluate and eliminate directorates that are not aligned with the President’s agenda and replace them with new directorates as appropriate that can drive implementation of the President’s signature national security priorities.,U.S. Office of Management and Budget,National Security,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,51,2026-02-11,Not initiated
10,National Security,"NSC staff and principals should work in tandem with the National Economic Council and OMB at all levels -- foreign policy should fully incorporate the economic instruments of national power, including the prioritized allocation of resoures",U.S. Office of Management and Budget,National Security,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,51,2026-02-11,Not initiated
